"Temp","StirrVel","TimeExt","salt","Block","ConcEndosulfan","","","","","","","","","","",""
"20","500","5","5","1","0.035","","","","","","","","","","",""
"20","1000","5","5","1","0.019","","","","","","","","","","",""
"20","500","30","5","1","0.025","","","","","","","","","","",""
"20","1000","30","5","1","0.144","","","","","","","","","","",""
"20","500","5","20","1","0.060","","","","","","","","","","",""
"20","1000","5","20","1","0.034","","","","","","","","","","",""
"20","500","30","20","1","0.074","","","","","","","","","","",""
"20","1000","30","20","1","0.223","","","","","","","","","","",""
"20","750","17.5","12.5","1","0.159","","","","","","","","","","",""
"35","500","17.5","12.5","1","0.043","","","","","","","","","","",""
"35","1000","17.5","12.5","1","0.163","","","","","","","","","","",""
"35","750","5","12.5","1","0.003","","","","","","","","","","",""
"35","750","30","12.5","1","0.215","","","","","","","","","","",""
"35","750","17.5","5","1","0.043","","","","","","","","","","",""
"35","750","17.5","20","1","0.127","","","","","","","","","","",""
"35","750","17.5","12.5","1","0.059","","","","","","","","","","",""
"35","750","17.5","12.5","1","0.135","","","","","","","","","","",""
"35","750","17.5","12.5","1","0.025","","","","","","","","","","",""
"50","500","5","5","1","0.051","","","","","","","","","","",""
"50","1000","5","5","1","0.064","","","","","","","","","","",""
"50","500","30","5","1","0.066","","","","","","","","","","",""
"50","1000","30","5","1","0.066","","","","","","","","","","",""
"50","500","5","20","1","0.061","","","","","","","","","","",""
"50","1000","5","20","1","0.034","","","","","","","","","","",""
"50","500","30","20","1","0.095","","","","","","","","","","",""
"50","1000","30","20","1","0.034","","","","","","","","","","",""
"50","750","17.5","12.5","1","0.114","","","","","","","","","","",""
"20","500","5","5","2","0.008","","","","","","","","","","",""
"20","1000","5","5","2","0.003","","","","","","","","","","",""
"20","500","30","5","2","0.204","","","","","","","","","","",""
"20","1000","30","5","2","0.173","","","","","","","","","","",""
"20","500","5","20","2","0.006","","","","","","","","","","",""
"20","1000","5","20","2","0.139","","","","","","","","","","",""
"20","500","30","20","2","0.516","","","","","","","","","","",""
"20","1000","30","20","2","0.042","","","","","","","","","","",""
"20","750","17.5","12.5","2","0.127","","","","","","","","","","",""
"35","500","17.5","12.5","2","0.341","","","","","","","","","","",""
"35","1000","17.5","12.5","2","0.405","","","","","","","","","","",""
"35","750","5","12.5","2","0.126","","","","","","","","","","",""
"35","750","30","12.5","2","0.226","","","","","","","","","","",""
"35","750","17.5","5","2","0.192","","","","","","","","","","",""
"35","750","17.5","20","2","0.606","","","","","","","","","","",""
"35","750","17.5","12.5","2","0.136","","","","","","","","","","",""
"35","750","17.5","12.5","2","0.561","","","","","","","","","","",""
"35","750","17.5","12.5","2","1.136","","","","","","","","","","",""
"50","500","5","5","2","0.267","","","","","","","","","","",""
"50","1000","5","5","2","0.151","","","","","","","","","","",""
"50","500","30","5","2","0.068","","","","","","","","","","",""
"50","1000","30","5","2","0.063","","","","","","","","","","",""
"50","500","5","20","2","0.067","","","","","","","","","","",""
"50","1000","5","20","2","0.147","","","","","","","","","","",""
"50","500","30","20","2","0.128","","","","","","","","","","",""
"50","1000","30","20","2","0.217","","","","","","","","","","",""
"50","750","17.5","12.5","2","0.126","","","","","","","","","","",""
"20","500","5","5","3","0.008","","","","","","","","","","",""
"20","1000","5","5","3","0.025","","","","","","","","","","",""
"20","500","30","5","3","0.077","","","","","","","","","","",""
"20","1000","30","5","3","0.213","","","","","","","","","","",""
"20","500","5","20","3","0.029","","","","","","","","","","",""
"20","1000","5","20","3","0.252","","","","","","","","","","",""
"20","500","30","20","3","0.217","","","","","","","","","","",""
"20","1000","30","20","3","0.630","","","","","","","","","","",""
"20","750","17.5","12.5","3","0.241","","","","","","","","","","",""
"35","500","17.5","12.5","3","0.113","","","","","","","","","","",""
"35","1000","17.5","12.5","3","0.412","","","","","","","","","","",""
"35","750","5","12.5","3","0.053","","","","","","","","","","",""
"35","750","30","12.5","3","0.192","","","","","","","","","","",""
"35","750","17.5","5","3","0.762","","","","","","","","","","",""
"35","750","17.5","20","3","0.139","","","","","","","","","","",""
"35","750","17.5","12.5","3","0.276","","","","","","","","","","",""
"35","750","17.5","12.5","3","0.561","","","","","","","","","","",""
"35","750","17.5","12.5","3","0.434","","","","","","","","","","",""
"50","500","5","5","3","0.024","","","","","","","","","","",""
"50","1000","5","5","3","0.088","","","","","","","","","","",""
"50","500","30","5","3","0.184","","","","","","","","","","",""
"50","1000","30","5","3","0.014","","","","","","","","","","",""
"50","500","5","20","3","0.033","","","","","","","","","","",""
"50","1000","5","20","3","0.276","","","","","","","","","","",""
"50","500","30","20","3","0.152","","","","","","","","","","",""
"50","1000","30","20","3","0.203","","","","","","","","","","",""
"50","750","17.5","12.5","3","0.044","","","","","","","","","","",""
